"Name","Class","St","Stfips","Placefips","Pop2010","Stplfips"
"Pharr","city","TX","48","57200",70400,"4857200"
"McAllen","city","TX","48","45384",129877,"4845384"
"Edinburg","city","TX","48","22660",77100,"4822660"
"Laredo","city","TX","48","41464",236091,"4841464"
"Mission","city","TX","48","48768",77058,"4848768"
"San Antonio","city","TX","48","65000",1327407,"4865000"
"Round Rock","city","TX","48","63500",99887,"4863500"
"Austin","city","TX","48","05000",790390,"4805000"
"Killeen","city","TX","48","39148",127921,"4839148"
"Brownsville","city","TX","48","10768",175023,"4810768"
"San Angelo","city","TX","48","64472",93200,"4864472"
"College Station","city","TX","48","15976",93857,"4815976"
"Bryan","city","TX","48","10912",76201,"4810912"
"Houston","city","TX","48","35000",2099451,"4835000"
"Sugar Land","city","TX","48","70808",78817,"4870808"
"Pearland","city","TX","48","56348",91252,"4856348"
"Missouri City","city","TX","48","48804",67358,"4848804"
"League City","city","TX","48","41980",83560,"4841980"
"Pasadena","city","TX","48","56000",149043,"4856000"
"Baytown","city","TX","48","06128",71802,"4806128"
"Corpus Christi","city","TX","48","17000",305215,"4817000"
"Beaumont","city","TX","48","07000",118296,"4807000"
"Lake Charles","city","LA","22","41155",71993,"2241155"
"Lafayette","city","LA","22","40735",120623,"2240735"
"Baton Rouge","city","LA","22","05000",229493,"2205000"
"Kenner","city","LA","22","39475",66702,"2239475"
"New Orleans","city","LA","22","55000",343829,"2255000"
"Gulfport","city","MS","28","29700",67793,"2829700"
"Mobile","city","AL","01","50000",195111,"0150000"
"Tallahassee","city","FL","12","70600",181376,"1270600"
"Jacksonville","city","FL","12","35000",821784,"1235000"
"Gainesville","city","FL","12","25175",124354,"1225175"
"Palm Coast","city","FL","12","54200",75180,"1254200"
"Deltona","city","FL","12","17200",85182,"1217200"
"Orlando","city","FL","12","53000",238300,"1253000"
"Largo","city","FL","12","39425",77648,"1239425"
"Clearwater","city","FL","12","12875",107685,"1212875"
"St. Petersburg","city","FL","12","63000",244769,"1263000"
"Tampa","city","FL","12","71000",335709,"1271000"
"Lakeland","city","FL","12","38250",97422,"1238250"
"Cape Coral","city","FL","12","10275",154305,"1210275"
"Palm Bay","city","FL","12","54000",103190,"1254000"
"Melbourne","city","FL","12","43975",76068,"1243975"
"Port St. Lucie","city","FL","12","58715",164603,"1258715"
"Plantation","city","FL","12","57425",84955,"1257425"
"Hollywood","city","FL","12","32000",140768,"1232000"
"Boca Raton","city","FL","12","07300",84392,"1207300"
"Pembroke Pines","city","FL","12","55775",154750,"1255775"
"Miramar","city","FL","12","45975",122041,"1245975"
"Davie","town","FL","12","16475",91992,"1216475"
"Hialeah","city","FL","12","30000",224669,"1230000"
"Miami Gardens","city","FL","12","45060",107167,"1245060"
"Miami Beach","city","FL","12","45025",87779,"1245025"
"Miami","city","FL","12","45000",399457,"1245000"
"Sunrise","city","FL","12","69700",84439,"1269700"
"West Palm Beach","city","FL","12","76600",99919,"1276600"
"Boynton Beach","city","FL","12","07875",68217,"1207875"
"Lauderhill","city","FL","12","39550",66887,"1239550"
"Fort Lauderdale","city","FL","12","24000",165521,"1224000"
"Deerfield Beach","city","FL","12","16725",75018,"1216725"
"Coral Springs","city","FL","12","14400",121096,"1214400"
"Pompano Beach","city","FL","12","58050",99845,"1258050"
"Lowell","city","MA","25","37000",106519,"2537000"
"Nashua","city","NH","33","50260",86494,"3350260"
"Manchester","city","NH","33","45140",109565,"3345140"
"Lynn","city","MA","25","37490",90329,"2537490"
"Lawrence","city","MA","25","34550",76377,"2534550"
"Somerville","city","MA","25","62535",75754,"2562535"
"Cambridge","city","MA","25","11000",105162,"2511000"
"Portland","city","ME","23","60545",66194,"2360545"
"Springfield","city","MA","25","67000",153060,"2567000"
"Hartford","city","CT","09","37000",124775,"0937000"
"Worcester","city","MA","25","82000",181045,"2582000"
"Warwick","city","RI","44","74300",82672,"4474300"
"Providence","city","RI","44","59000",178042,"4459000"
"Pawtucket","city","RI","44","54640",71148,"4454640"
"Cranston","city","RI","44","19180",80387,"4419180"
"Quincy","city","MA","25","55745",92271,"2555745"
"Brockton","city","MA","25","09000",93810,"2509000"
"Boston","city","MA","25","07000",617594,"2507000"
"Newton","city","MA","25","45560",85146,"2545560"
"New Bedford","city","MA","25","45000",95072,"2545000"
"Fall River","city","MA","25","23000",88857,"2523000"
"Schenectady","city","NY","36","65508",66135,"3665508"
"Albany","city","NY","36","01000",97856,"3601000"
"Union City","city","NJ","34","74630",66455,"3474630"
"Passaic","city","NJ","34","56550",69781,"3456550"
"Newark","city","NJ","34","51000",277140,"3451000"
"Clifton","city","NJ","34","13690",84136,"3413690"
"Paterson","city","NJ","34","57000",146199,"3457000"
"Yonkers","city","NY","36","84000",195976,"3684000"
"Jersey City","city","NJ","34","36000",247597,"3436000"
"Elizabeth","city","NJ","34","21000",124969,"3421000"
"New York","city","NY","36","51000",8175133,"3651000"
"New Rochelle","city","NY","36","50617",77062,"3650617"
"Mount Vernon","city","NY","36","49121",67292,"3649121"
"Bridgeport","city","CT","09","08000",144229,"0908000"
"Waterbury","city","CT","09","80000",110366,"0980000"
"Danbury","city","CT","09","18430",80893,"0918430"
"Stamford","city","CT","09","73000",122643,"0973000"
"Norwalk","city","CT","09","55990",85603,"0955990"
"New Britain","city","CT","09","50370",73206,"0950370"
"New Haven","city","CT","09","52000",129779,"0952000"
"Trenton","city","NJ","34","74000",84913,"3474000"
"Camden","city","NJ","34","10000",77344,"3410000"
"Philadelphia","city","PA","42","60000",1526006,"4260000"
"Allentown","city","PA","42","02000",118032,"4202000"
"Bethlehem","city","PA","42","06088",74982,"4206088"
"Chesapeake","city","VA","51","16000",222209,"5116000"
"Hampton","city","VA","51","35000",137436,"5135000"
"Portsmouth","city","VA","51","64000",95535,"5164000"
"Virginia Beach","city","VA","51","82000",437994,"5182000"
"Norfolk","city","VA","51","57000",242803,"5157000"
"Syracuse","city","NY","36","73000",145170,"3673000"
"Reading","city","PA","42","63624",88082,"4263624"
"Scranton","city","PA","42","69000",76089,"4269000"
"Wilmington","city","DE","10","77580",70851,"1077580"
